model,group,paper,nodes,material_edges,logical_edges,inter_edges,material_edge_density,logical_edge_density,material_isolated_rate,logical_isolated_rate,combined_isolated_rate,material_pass,logical_pass,combined_pass,mean_total_score_100,mean_repro_score_100,num_units
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,s41592-024-02555-5,8,0,2,0,0.0,0.03571428571428571,1.0,0.5,0.5,False,False,False,67.0,8.0,8.0
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,s41592-025-02927-5,7,0,1,0,0.0,0.023809523809523808,1.0,0.714,0.714,False,False,False,67.0,8.0,7.0
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,s41593-021-00923-4,1,0,0,0,,,1.0,1.0,1.0,False,False,False,67.0,8.0,1.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-019-0213-z,9,0,18,0,0.0,0.25,1.0,0.0,0.0,False,True,True,51.666666666666664,24.11111111111111,9.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-020-00441-w,10,1,15,1,0.011111111111111112,0.16666666666666666,0.8,0.0,0.0,False,True,True,51.0,28.6,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-020-00474-1,10,0,2,0,0.0,0.022222222222222223,1.0,0.6,0.6,False,False,False,80.5,9.9,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-020-0379-4,10,1,7,1,0.011111111111111112,0.07777777777777778,0.8,0.3,0.3,False,False,False,63.7,23.8,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-021-00562-w,10,0,3,0,0.0,0.03333333333333333,1.0,0.5,0.5,False,False,False,61.6,20.8,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-021-00603-4,10,0,3,0,0.0,0.03333333333333333,1.0,0.6,0.6,False,False,False,58.1,20.5,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-021-00629-8,10,0,12,0,0.0,0.13333333333333333,1.0,0.0,0.0,False,True,True,58.1,24.6,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-023-00814-x,10,0,23,0,0.0,0.25555555555555554,1.0,0.0,0.0,False,True,True,54.6,28.9,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-023-00827-6,5,0,9,0,0.0,0.45,1.0,0.0,0.0,False,True,True,56.2,24.8,5.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-023-00880-1,10,0,15,0,0.0,0.16666666666666666,1.0,0.0,0.0,False,True,True,64.9,24.2,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-023-00929-1,10,0,2,0,0.0,0.022222222222222223,1.0,0.6,0.6,False,False,False,57.1,19.9,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-025-01197-x,10,0,20,0,0.0,0.2222222222222222,1.0,0.0,0.0,False,True,True,71.2,15.7,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-025-01236-7,10,0,15,0,0.0,0.16666666666666666,1.0,0.0,0.0,False,True,True,67.6,21.5,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,s41596-025-01299-6,10,0,16,0,0.0,0.17777777777777778,1.0,0.0,0.0,False,True,True,63.1,24.4,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41467-020-19142-9,6,0,0,0,0.0,0.0,1.0,1.0,1.0,False,False,False,64.16666666666667,25.166666666666668,6.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41467-021-27464-5,10,0,7,0,0.0,0.07777777777777778,1.0,0.3,0.3,False,False,False,65.3,28.6,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41467-024-55567-2,10,1,7,1,0.011111111111111112,0.07777777777777778,0.8,0.2,0.1,False,False,False,55.6,25.0,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41467-025-68247-6,10,9,14,9,0.1,0.15555555555555556,0.6,0.0,0.0,False,True,True,46.7,28.2,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41586-018-0024-3,1,0,0,0,,,1.0,1.0,1.0,False,False,False,83.0,8.0,1.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41586-019-1654-9,1,0,0,0,,,1.0,1.0,1.0,False,False,False,83.0,8.0,1.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41586-021-03209-8,10,0,11,0,0.0,0.12222222222222222,1.0,0.0,0.0,False,True,True,68.4,16.2,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41586-023-06473-y,10,0,4,0,0.0,0.044444444444444446,1.0,0.3,0.3,False,False,False,80.0,9.9,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41586-023-06564-w,10,0,5,0,0.0,0.05555555555555555,1.0,0.2,0.2,False,False,False,59.8,26.3,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41586-024-08172-8,10,0,8,0,0.0,0.08888888888888889,1.0,0.0,0.0,False,True,True,76.5,12.1,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41587-023-01718-7,10,0,4,0,0.0,0.044444444444444446,1.0,0.3,0.3,False,False,False,75.5,11.3,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41587-023-01747-2,8,0,1,0,0.0,0.017857142857142856,1.0,0.75,0.75,False,False,False,76.375,11.375,8.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41588-021-00972-2,10,0,2,0,0.0,0.022222222222222223,1.0,0.7,0.7,False,False,False,83.0,8.0,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41588-025-02182-6,7,0,1,0,0.0,0.023809523809523808,1.0,0.714,0.714,False,False,False,83.0,8.0,7.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41591-024-02807-z,10,0,2,0,0.0,0.022222222222222223,1.0,0.6,0.6,False,False,False,78.9,9.7,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41592-021-01344-8,7,0,2,0,0.0,0.047619047619047616,1.0,0.571,0.571,False,False,False,62.714285714285715,17.714285714285715,7.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41592-021-01391-1,10,0,1,0,0.0,0.011111111111111112,1.0,0.8,0.8,False,False,False,81.4,10.1,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41592-024-02555-5,10,0,5,0,0.0,0.05555555555555555,1.0,0.4,0.4,False,False,False,83.0,9.3,10.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41592-025-02927-5,8,0,1,0,0.0,0.017857142857142856,1.0,0.75,0.75,False,False,False,76.75,14.125,8.0
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,s41593-021-00923-4,1,0,0,0,,,1.0,1.0,1.0,False,False,False,83.0,8.0,1.0
